"Brand.Name","Generic.Name","Drug.Uses","Med_Class","key"
"Abiraterone Acetate","Abiraterone Acetate","This medication is used along with prednisone to treat men with prostate cancer that has spread to other areas of the body. Abiraterone belongs to a class of drugs known as anti-androgens (anti-testosterone). Testosterone, a natural hormone, helps prostate cancer to grow and spread. Abiraterone works by blocking the production of testosterone, thereby slowing the growth and spread of prostate cancer. This medication should not be given to women or children.","Oncology","Abiraterone Acetate_Abiraterone Acetate"
"Abraxane","Paclitaxel Protein-Bound","This medication is used to treat certain cancers (including breast, lung, and pancreatic cancer). Paclitaxel belongs to a class of drugs known as chemotherapy drugs. It works by slowing or stopping the growth of cancer cells.","Oncology","Abraxane_Paclitaxel Protein-Bound"
"Abrysvo","Rsv Vacc, Pref A And Pref B/PF","This vaccine is used to prevent infection by the respiratory syncytial virus (RSV). Some brands may also be given during the third trimester of pregnancy to help prevent RSV in the newborn baby. RSV can cause serious illness, especially in older adults with certain health problems (such as heart disease, lung disease) and infants. It works by causing the body to produce its own protection (antibodies) against the virus. Vaccines may not fully protect everyone who receives them. This information does not contain any assurances that this product is safe, effective or appropriate for you.","Cardiology","Abrysvo_Rsv Vacc, Pref A And Pref B/PF"
"Absorica Ld","Isotretinoin, Micronized","This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (e.g., benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring.","Dermatology","Absorica Ld_Isotretinoin, Micronized"
"Absorica","Isotretinoin","This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (e.g., benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring.","Dermatology","Absorica_Isotretinoin"
"Abstral","Fentanyl Citrate","This medication is used to help relieve sudden (breakthrough) pain in people who are already taking opioid medication around-the-clock for cancer pain. Fentanyl belongs to a class of drugs known as opioid (narcotic) analgesics. It works in the brain to change how your body feels and responds to pain. This medication should not be used to relieve mild or short-term pain (such as due to headache/migraine, dental procedures, surgery).","Neurology","Abstral_Fentanyl Citrate"
"Acamprosate Calcium","Acamprosate Calcium","This medication is used along with counseling and support to help people who are alcohol dependent not drink alcohol. Acamprosate works by restoring the natural balance of chemicals in the brain (neurotransmitters). Before starting this medication, you should no longer be drinking alcohol. Acamprosate has not been shown to work well if you are still drinking alcohol when you start taking it.","Neurology","Acamprosate Calcium_Acamprosate Calcium"
"Acanya","Clindamycin Phos/Benzoyl Perox","This combination medication is used to treat a certain type of acne (inflammatory acne vulgaris). It helps to decrease the number of acne pimples. Clindamycin is an antibiotic that stops the growth of acne-causing bacteria. Benzoyl peroxide can also stop the growth of bacteria as well as reduce oil production in the skin, helping keep your pores open.","Dermatology","Acanya_Clindamycin Phos/Benzoyl Perox"
"Acarbose","Acarbose","Acarbose is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Acarbose works in your intestines to slow the breakdown and absorption of carbohydrates from foods that you eat. This effect helps lessen your blood sugar rise after a meal.","Cardiology","Acarbose_Acarbose"
"Accolate","Zafirlukast","Zafirlukast is used to control and prevent symptoms (such as wheezing and shortness of breath) caused by asthma. Controlling symptoms of asthma helps you maintain your normal activities and cuts down on time lost from work or school. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler (such as albuterol, salbutamol) as prescribed.","Otorhinolaryngology","Accolate_Zafirlukast"
"Accupril","Quinapril HCl","Quinapril is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This medication is also used to treat heart failure. Quinapril belongs to a class of drugs known as ACE inhibitors. It works by relaxing blood vessels so blood can flow more easily.","Cardiology","Accupril_Quinapril HCl"
"Accuretic","Quinapril/Hydrochlorothiazide","This product is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 2 medications: quinapril and hydrochlorothiazide. Quinapril belongs to a class of drugs known as ACE inhibitors and works by relaxing blood vessels so blood can flow more easily. Hydrochlorothiazide belongs to a class of drugs known as diuretics/""water pills."" It works by causing you to make more urine. This helps your body get rid of extra salt and water.","Cardiology","Accuretic_Quinapril/Hydrochlorothiazide"
"Accutane","Isotretinoin","This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (such as benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring.","Dermatology","Accutane_Isotretinoin"
"Acebutolol HCl","Acebutolol HCl","Acebutolol is used to treat high blood pressure and irregular heartbeat (arrhythmia). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Treating irregular heartbeat helps the heart work better and with less strain. Irregular heartbeats can be serious and may sometimes even lead to a heart attack. This medication belongs to a class of drugs known as beta blockers. It works by blocking the action of certain natural substances in your body, such as epinephrine, on the heart and blood vessels. This effect lowers heart rate, blood pressure, and strain on the heart.","Cardiology","Acebutolol HCl_Acebutolol HCl"
"Acetamin-Caff-Dihydrocodeine","Acetaminophen/Caff/Dihydrocod","See also Warning section. This combination medication is used to help relieve moderate to severe pain. It contains an opioid (narcotic) pain reliever (dihydrocodeine), a non-opioid pain reliever (acetaminophen), and caffeine. Dihydrocodeine works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever. Caffeine increases pain relief, especially for certain types of headaches.","Pain_Management","Acetamin-Caff-Dihydrocodeine_Acetaminophen/Caff/Dihydrocod"
"Acetaminophen-Codeine","Acetaminophen With Codeine","See also Warning section. This combination medication is used to help relieve mild to moderate pain. It contains an opioid (narcotic) pain reliever (codeine) and a non-opioid pain reliever (acetaminophen). Codeine works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever.","Pain_Management","Acetaminophen-Codeine_Acetaminophen With Codeine"
"Acetaminophen","Acetaminophen","This drug is used to treat mild to moderate pain and to reduce fever. It is also used in combination with opioid pain medications to help relieve moderate to severe pain.","Pain_Management","Acetaminophen_Acetaminophen"
"Acetasol HC","Hydrocortisone/Acetic Acid","This combination medication is used to treat outer ear infections (e.g., swimmer's ear). This product contains 2 medications. Acetic acid works by stopping the growth of bacteria and fungus. Hydrocortisone is a steroid that helps to decrease the redness, swelling, and itching from the infection.","Infectious_Disease","Acetasol HC_Hydrocortisone/Acetic Acid"
"Acetazolamide ER","Acetazolamide","Acetazolamide is used to prevent and reduce the symptoms of altitude sickness. This medication can decrease headache, tiredness, nausea, dizziness, and shortness of breath that can occur when you climb quickly to high altitudes (generally above 10,000 feet/3,048 meters). It is particularly useful in situations when you cannot make a slow ascent. The best ways to prevent altitude sickness are climbing slowly, stopping for 24 hours during the climb to allow the body to adjust to the new height, and taking it easy the first 1 to 2 days. This medication is also used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures).","Cardiology","Acetazolamide ER_Acetazolamide"
"Acetazolamide Sodium","Acetazolamide Sodium","This medication is used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures).","Cardiology","Acetazolamide Sodium_Acetazolamide Sodium"
"Acetazolamide","Acetazolamide","Acetazolamide is used to prevent and reduce the symptoms of altitude sickness. This medication can decrease headache, tiredness, nausea, dizziness, and shortness of breath that can occur when you climb quickly to high altitudes (generally above 10,000 feet/3,048 meters). It is particularly useful in situations when you cannot make a slow ascent. The best ways to prevent altitude sickness are climbing slowly, stopping for 24 hours during the climb to allow the body to adjust to the new height, and taking it easy the first 1 to 2 days. This drug is also used with other medications to treat a certain type of eye problem (open-angle glaucoma). Acetazolamide is a ""water pill"" (diuretic). It decreases the amount of fluid that can build up in the eye. It is also used to decrease a buildup of body fluids (edema) caused by congestive heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures).","Cardiology","Acetazolamide_Acetazolamide"
"Acetic Acid-Aluminum","Acetic Acid/Aluminum Acetate","This medication is used to treat an outer ear infection (external otitis). This product contains acetic acid/aluminum acetate, a combination that stops the growth of bacteria and fungus. Treating the infection reduces pain and swelling in the ear. Wetness in the ear canal can help bacteria and fungus to grow. This medication also causes drying of the ear canal, helping to cure the infection.","Infectious_Disease","Acetic Acid-Aluminum_Acetic Acid/Aluminum Acetate"
"Acetic Acid","Acetic Acid","Acetic acid is used to treat an outer ear infection (external otitis). It works by stopping the growth of bacteria and fungus. Treating the infection reduces pain and swelling in the ear. Wetness in the ear canal can help bacteria and fungus to grow. This medication may also contain drying ingredients such as glycerin or alcohol. Drying of the ear canal helps to cure the infection.","Infectious_Disease","Acetic Acid_Acetic Acid"
"Acetylcysteine","Acetylcysteine","When inhaled by mouth, acetylcysteine is used to help thin and loosen mucus in the airways due to certain lung diseases (such as emphysema, bronchitis, cystic fibrosis, pneumonia). This effect helps you to clear the mucus from your lungs so that you can breathe easier. When taken by mouth, acetylcysteine is used to prevent liver damage from acetaminophen overdose.","Gastroenterology","Acetylcysteine_Acetylcysteine"
"Aciphex Sprinkle","Rabeprazole Sodium","Rabeprazole is used to treat certain stomach and esophagus problems (such as acid reflux, ulcers). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as heartburn, difficulty swallowing, and persistent cough. This medication helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Rabeprazole belongs to a class of drugs known as proton pump inhibitors (PPIs).","Cardiology","Aciphex Sprinkle_Rabeprazole Sodium"
"Aciphex","Rabeprazole Sodium","Rabeprazole is used to treat certain stomach and esophagus problems (such as acid reflux, ulcers). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as heartburn, difficulty swallowing, and persistent cough. This medication helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Rabeprazole belongs to a class of drugs known as proton pump inhibitors (PPIs).","Cardiology","Aciphex_Rabeprazole Sodium"
"Acitretin","Acitretin","This medication is a retinoid used in the treatment of severe psoriasis and other skin disorders in adults.","Dermatology","Acitretin_Acitretin"
"Actemra Actpen","Tocilizumab","This medication is used alone or with other medications to treat moderate to severe rheumatoid arthritis in adults. It is also used to treat rheumatoid arthritis in children (such as polyarticular juvenile idiopathic arthritis-PJIA, systemic juvenile idiopathic arthritis-SJIA). It helps to reduce pain and swelling due to rheumatoid arthritis. Tocilizumab is also used to treat giant cell arteritis. It helps to reduce swelling in your blood vessels so blood can flow more easily. Tocilizumab belongs to a class of drugs known as Interleukin-6 (IL-6) blockers. It works by blocking IL-6, a substance made by the body that causes swelling (inflammation).","Hematology","Actemra Actpen_Tocilizumab"
"Actemra","Tocilizumab","This medication is used alone or with other medications to treat moderate to severe rheumatoid arthritis in adults. It helps to reduce pain and swelling due to rheumatoid arthritis. Tocilizumab belongs to a class of drugs known as Interleukin-6 (IL-6) blockers. It works by blocking IL-6, a substance made by the body that causes swelling (inflammation).","Orthopedics","Actemra_Tocilizumab"
"Acthar","Corticotropin","This medication is used to treat a certain type of seizure in children (infantile spasms). This medication is also used to treat conditions such as multiple sclerosis, arthritis, lupus, eye conditions, skin/kidney/lung diseases, and immune system disorders. It decreases your immune system's response to various diseases to reduce symptoms such as swelling, pain, and allergic-type reactions. Corticotropin is a hormone.","Dermatology","Acthar_Corticotropin"
"Acthib","Haemoph B Poly Conj-Tet Tox/PF","This vaccine helps protect young children from Haemophilus influenzae type b (Hib) infection. Hib is a bacterial infection that can cause serious illness, including brain infection (meningitis). Children younger than age 5 are at highest risk for infection. Vaccination is the best way to protect against this life-threatening disease. Vaccines work by causing the body to produce its own protection (antibodies). This vaccine is not usually used in children over the age of 5 or in adults.","Infectious_Disease","Acthib_Haemoph B Poly Conj-Tet Tox/PF"
"Actigall","Ursodiol","Ursodiol is used to dissolve certain types of gallstones, to prevent gallstones from forming in obese patients who are losing weight rapidly, and to treat a certain type of liver disease (primary biliary cirrhosis). Ursodiol is a bile acid.","Endocrinology","Actigall_Ursodiol"
"Actimmune","Interferon Gamma-1b,Recomb.","This medication is used to reduce the frequency and severity of serious infections due to chronic granulomatous disease, a disorder that runs in families. This drug is often used along with antibiotics to help prevent these serious infections. This medication is also used to slow the worsening of malignant osteopetrosis, another disorder that runs in families, that affects bones, nerves, and blood. This medication is the same as a protein that your body naturally produces (interferon). In the body, it is thought to work by affecting cell function/growth and the body's natural defenses (immune system) in many ways. Adding more interferon may help your body fight off serious infections.","Hematology","Actimmune_Interferon Gamma-1b,Recomb."
"Actiq","Fentanyl Citrate","This medication is used to help relieve sudden (breakthrough) cancer pain in people who are regularly taking moderate to large amounts of opioid pain medication. Fentanyl belongs to a class of drugs known as opioid (narcotic) analgesics. It works in the brain to change how your body feels and responds to pain. This medication should not be used to relieve mild or short-term pain (such as due to headache/migraine, dental procedures, surgery).","Neurology","Actiq_Fentanyl Citrate"
"Activella","Estradiol/Norethindrone Acet","This medication contains 2 female hormones: an estrogen (such as conjugated estrogen, estradiol) and a progestin (such as medroxyprogesterone, norethindrone, norgestimate). It is used by women to help reduce symptoms of menopause (such as hot flashes, vaginal dryness). These symptoms are caused by the body making less estrogen. The progestin in this medication helps to reduce the risk of cancer of the uterus which can be caused by using estrogen. Women who have had their uterus removed do not need the progestin and therefore should not use this combination medication. If you are using this medication to treat symptoms only in and around the vagina, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. This medication may also be used by women after menopause to prevent bone loss (osteoporosis). However, there are other medications (such as raloxifene, bisphosphonates including alendronate) that are also effective in preventing bone loss and may be safer. These medications should be considered for use before estrogen/progestin treatment.","Dermatology","Activella_Estradiol/Norethindrone Acet"
"Actonel","Risedronate Sodium","Risedronate is used to prevent and treat certain types of bone loss (osteoporosis) in adults. Osteoporosis causes bones to become thinner and break more easily. Your chance of developing osteoporosis increases as you age, after menopause, or if you are taking corticosteroid medications (such as prednisone) for a long time. This medication works by slowing bone loss to help maintain strong bones and reduce the risk of broken bones (fractures). Risedronate belongs to a class of medications called bisphosphonates.","Orthopedics","Actonel_Risedronate Sodium"
"Actoplus Met XR","Pioglitazone HCl/Metformin HCl","This combination medication is used along with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pioglitazone belongs to a class of drugs known as thiazolidinediones or ""glitazones"". Metformin and pioglitazone work by helping to restore your body's proper response to the insulin you naturally produce. Metformin also decreases the amount of sugar that your liver makes and that your stomach/intestines absorb. Talk to your doctor about the risks and benefits of using pioglitazone-containing products.","Cardiology","Actoplus Met XR_Pioglitazone HCl/Metformin HCl"
"Actoplus Met","Pioglitazone HCl/Metformin HCl","This combination medication is used along with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pioglitazone belongs to a class of drugs known as thiazolidinediones or ""glitazones"". Metformin and pioglitazone work by helping to restore your body's proper response to the insulin you naturally produce. Metformin also decreases the amount of sugar that your liver makes and that your stomach/intestines absorb. Talk to your doctor about the risks and benefits of using pioglitazone-containing products.","Cardiology","Actoplus Met_Pioglitazone HCl/Metformin HCl"
"Actos","Pioglitazone HCl","Pioglitazone is a diabetes drug (thiazolidinedione-type, also called ""glitazones"") used along with a proper diet and exercise program to control high blood sugar in patients with type 2 diabetes. It works by helping to restore your body's proper response to insulin, thereby lowering your blood sugar. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pioglitazone is used either alone or in combination with other diabetes medications (such as metformin or a sulfonylurea such as glyburide). Talk to your doctor about the risks and benefits of pioglitazone.","Cardiology","Actos_Pioglitazone HCl"
"Acular Ls","Ketorolac Tromethamine","This medication is used to relieve eye pain, burning, and stinging following a certain type of corrective eye surgery (corneal refractive surgery). Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling.","Ophthalmology","Acular Ls_Ketorolac Tromethamine"
"Acular","Ketorolac Tromethamine","This medication is used to temporarily relieve itching eyes caused by seasonal allergies. It is also used to prevent and treat eye swelling due to a certain type of eye surgery (cataract removal). Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling.","Ophthalmology","Acular_Ketorolac Tromethamine"
"Acuvail","Ketorolac Tromethamine/PF","This medication is used to treat eye pain and swelling (inflammation) after cataract surgery. Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling.","Ophthalmology","Acuvail_Ketorolac Tromethamine/PF"
"Acyclovir Sodium","Acyclovir Sodium","This medication is used in certain people to treat outbreaks of herpes simplex infection of the skin (e.g., genitals), mucous membrane areas (e.g., mouth, nose), or brain. It is also used in certain people to treat shingles infection. The viruses that cause these infections live in the body quietly until an outbreak occurs. Acyclovir does not cure these infections, but can speed healing of the sores, decrease pain/itching/formation of new sores, and lower the risk of other problems from the virus (e.g., infection spreading to other parts of the body/organs, persistent pain after sores heal).","Dermatology","Acyclovir Sodium_Acyclovir Sodium"
"Acyclovir","Acyclovir","Acyclovir is used to treat infections caused by certain types of viruses. It treats cold sores around the mouth (caused by herpes simplex), shingles (caused by herpes zoster), and chickenpox. This medication is also used to treat outbreaks of genital herpes. In people with frequent outbreaks, acyclovir is used to help reduce the number of future episodes. Acyclovir is an antiviral drug. However, it is not a cure for these infections. The viruses that cause these infections continue to live in the body even between outbreaks. Acyclovir decreases the severity and length of these outbreaks. It helps the sores heal faster, keeps new sores from forming, and decreases pain/itching. This medication may also help reduce how long pain remains after the sores heal. In addition, in people with a weakened immune system, acyclovir can decrease the risk of the virus spreading to other parts of the body and causing serious infections.","Infectious_Disease","Acyclovir_Acyclovir"
"Aczone","Dapsone","This medication is used to treat acne. It helps decrease the number and severity of acne pimples and helps pimples that do develop to heal more quickly. Dapsone is an antibiotic. It is not known how dapsone works to treat acne.","Dermatology","Aczone_Dapsone"
"Adacel Tdap","Diph,Pertuss(Acell),Tet Vac/PF","This vaccine is used to keep up protection (immunity) against diphtheria, tetanus (lockjaw) and pertussis (whooping cough) in children and adults who have been vaccinated for these diseases in the past. Vaccination is the best way to protect against these life-threatening diseases. Vaccines work by causing the body to produce its own protection (antibodies). Booster doses are needed to keep up immunity because antibody levels may become too low over time to provide the needed protection.","Vaccine","Adacel Tdap_Diph,Pertuss(Acell),Tet Vac/PF"
"Adagen","PEGademase Bovine","Pegademase is used to treat a certain rare genetic immune system problem (severe combined immune deficiency disease-SCID). Pegademase replaces a certain natural substance (an enzyme called adenosine deaminase-ADA) that is missing in people with SCID. This medication increases the number of blood cells that prevent and fight infection (lymphocytes) by helping the body get rid of certain substances that kill lymphocytes. This medication does not help immune system problems due to other causes (such as AIDS, bone marrow depression).","Hematology","Adagen_PEGademase Bovine"
"Adakveo","Crizanlizumab-Tmca","Crizanlizumab is used by people with sickle cell disease to reduce the number of painful crises caused by the disease. It works by attaching to a certain substance in your body (P-selectin) and preventing blood cells from sticking together. Crizanlizumab belongs to a class of drugs known as monoclonal antibodies. This information does not contain any assurances that this product is safe, effective or appropriate for you.","Hematology","Adakveo_Crizanlizumab-Tmca"
"Adalat Cc","Nifedipine","This medication is used alone or in combination with other drugs to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Nifedipine belongs to a class of medications known as calcium channel blockers. It works by relaxing blood vessels so blood can flow more easily.","Cardiology","Adalat Cc_Nifedipine"
"Adalimumab-Adaz(Cf) Pen","Adalimumab-Adaz","Adalimumab is used to reduce pain and swelling due to certain types of arthritis (such as rheumatoid, psoriatic, juvenile idiopathic, ankylosing spondylitis). This medication is also used to treat certain skin disorders (such as plaque-type psoriasis, hidradenitis suppurativa). It works by blocking a protein (tumor necrosis factor or TNF) found in the body's immune system that causes joint swelling and damage in arthritis as well as red scaly patches in psoriasis. Adalimumab belongs to a class of drugs known as TNF blockers. By reducing joint swelling, this medication helps to reduce further joint damage and preserve joint function. Adalimumab is also used to treat certain bowel conditions (Crohn's disease, ulcerative colitis) and a certain eye disease (uveitis). This monograph is about the following adalimumab products: adalimumab, adalimumab-aacf, adalimumab-aaty, adalimumab-adaz, adalimumab-adbm, adalimumab-aqvh, adalimumab-atto, adalimumab-bwwd, adalimumab-fkjp, and adalimumab-afzb. This information does not contain any assurances that this product is safe, effective or appropriate for you.","Dermatology","Adalimumab-Adaz(Cf) Pen_Adalimumab-Adaz"
"Adalimumab-Adaz(Cf)","Adalimumab-Adaz","Adalimumab is used to reduce pain and swelling due to certain types of arthritis (such as rheumatoid, psoriatic, juvenile idiopathic, ankylosing spondylitis). This medication is also used to treat certain skin disorders (such as plaque-type psoriasis, hidradenitis suppurativa). It works by blocking a protein (tumor necrosis factor or TNF) found in the body's immune system that causes joint swelling and damage in arthritis as well as red scaly patches in psoriasis. Adalimumab belongs to a class of drugs known as TNF blockers. By reducing joint swelling, this medication helps to reduce further joint damage and preserve joint function. Adalimumab is also used to treat certain bowel conditions (Crohn's disease, ulcerative colitis) and a certain eye disease (uveitis). This monograph is about the following adalimumab products: adalimumab, adalimumab-aacf, adalimumab-aaty, adalimumab-adaz, adalimumab-adbm, adalimumab-aqvh, adalimumab-atto, adalimumab-bwwd, adalimumab-fkjp, and adalimumab-afzb. This information does not contain any assurances that this product is safe, effective or appropriate for you.","Dermatology","Adalimumab-Adaz(Cf)_Adalimumab-Adaz"
